issues,skills,interests,activities,schoolActivities,persona
Health and Well-Being,Tech,Health,"Exercising,Nutrition,Health and Wellness","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Tech
Health and Well-Being,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Tech
Health and Well-Being,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Tech
Health and Well-Being,Social,Health,"Exercising,Nutrition,Health and Wellness","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Leadership
Health and Well-Being,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Leadership
Health and Well-Being,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Leadership
Health and Well-Being,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Social
Health and Well-Being,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Leadership
Health and Well-Being,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Leadership
Health and Well-Being,Creative,Health,"Exercising,Nutrition,Health and Wellness","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Creative
Health and Well-Being,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Creative
Health and Well-Being,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Creative
Health and Well-Being,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Creative
Health and Well-Being,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Creative
Health and Well-Being,Business,Health,"Exercising,Nutrition,Health and Wellness","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Business
Health and Well-Being,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Business
Health and Well-Being,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Business
Health and Well-Being,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Business
Health and Well-Being,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Sports CCAs,Mental Health,Healthy Eating, Emergency Preparedness",Business
Equality Diversity,Tech,Health,"Exercising,Nutrition,Health and Wellness","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Tech
Equality Diversity,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Social
Equality Diversity,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Social
Equality Diversity,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Social
Equality Diversity,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business/Tech
Equality Diversity,Social,Health,"Exercising,Nutrition,Health and Wellness","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Social
Equality Diversity,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Creative
Equality Diversity,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Social
Equality Diversity,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business
Equality Diversity,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business
Equality Diversity,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business
Equality Diversity,Creative,Health,"Exercising,Nutrition,Health and Wellness","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Social
Equality Diversity,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Creative
Equality Diversity,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Creative
Equality Diversity,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Creative
Equality Diversity,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Business,Health,"Exercising,Nutrition,Health and Wellness","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business
Equality Diversity,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business
Equality Diversity,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Leader
Equality Diversity,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cultural exchange,Community service,SMU ICON,SMU Women's Connection",Business
Education And Mobility,Tech,Health,"Exercising,Nutrition,Health and Wellness","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Academic improvement,Career Development,Research Databases, Community Service",Tech
Education And Mobility,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Academic improvement,Career Development,Research Databases, Community Service",Tech
Education And Mobility,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Academic improvement,Career Development,Research Databases, Community Service",Tech
Education And Mobility,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Academic improvement,Career Development,Research Databases, Community Service",Business
Education And Mobility,Social,Health,"Exercising,Nutrition,Health and Wellness","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Academic improvement,Career Development,Research Databases, Community Service",Creative
Education And Mobility,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Academic improvement,Career Development,Research Databases, Community Service",Creative
Education And Mobility,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Academic improvement,Career Development,Research Databases, Community Service",Leader
Education And Mobility,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Academic improvement,Career Development,Research Databases, Community Service",Leader
Education And Mobility,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Academic improvement,Career Development,Research Databases, Community Service",Leader
Education And Mobility,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Academic improvement,Career Development,Research Databases, Community Service",Leader
Education And Mobility,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Academic improvement,Career Development,Research Databases, Community Service",Leader
Education And Mobility,Creative,Health,"Exercising,Nutrition,Health and Wellness","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Academic improvement,Career Development,Research Databases, Community Service",Creative
Education And Mobility,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Academic improvement,Career Development,Research Databases, Community Service",Creative
Education And Mobility,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Academic improvement,Career Development,Research Databases, Community Service",Social
Education And Mobility,Business,Health,"Exercising,Nutrition,Health and Wellness","Academic improvement,Career Development,Research Databases, Community Service",Business
Education And Mobility,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Academic improvement,Career Development,Research Databases, Community Service",Business
Education And Mobility,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Academic improvement,Career Development,Research Databases, Community Service",Business
Education And Mobility,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Academic improvement,Career Development,Research Databases, Community Service",Business
Education And Mobility,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Academic improvement,Career Development,Research Databases, Community Service",Business
Environment And Sustainability,Tech,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Tech
Environment And Sustainability,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Tech
Environment And Sustainability,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Tech
Environment And Sustainability,Social,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Environment And Sustainability,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leader
Environment And Sustainability,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Creative,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Environment And Sustainability,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leadership
Environment And Sustainability,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Environment And Sustainability,Business,Health,"Exercising,Nutrition,Health and Wellness","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Business
Environment And Sustainability,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Leadership
Environment And Sustainability,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Social
Environment And Sustainability,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Green activities/challenges (SMU Verts), Sustainability Workshops/Dialogues, SMU People For Animal Welfare (PAW), Sustainable Campus Infrastructure",Creative
Cyberspace,Tech,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Tech,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Tech,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Tech,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Creative
Cyberspace,Tech,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Social,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Social,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Social,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Social,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Business
Cyberspace,Social,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Leadership,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Leadership,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Leadership,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Creative
Cyberspace,Leadership,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Business
Cyberspace,Leadership,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Creative,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Creative,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Creative,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Creative,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Creative,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership
Cyberspace,Business,Health,"Exercising,Nutrition,Health and Wellness","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Business,Volunteerism And Advocacy,"Practicing empathy,Researching Social Issues,Sustainable Living","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Business,Campus,"Online Webinars,Learning New Skills,Connecting Through Social Media","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Tech
Cyberspace,Business,Environment,"Sustainable Living,Watching Documentaries,Shopping and Buying less","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Social
Cyberspace,Business,Personal Development,"Meditation,Building Your Portfolio,Reading Widely","Cyber security awareness campaign, SMU Whitehats, Bite-sized Library Workshops, IITS Resources",Leadership